Modelo,Dimensoes,Num_Documentos,Similaridade_Media,Similaridade_Std,Similaridade_Min,Similaridade_Max
TF-IDF,72,20,0.19864884544083414,0.1184568584043761,0.0,0.6088861112452667
Word2Vec,300,20,0.2745187282562256,0.23469994962215424,-0.11176984012126923,0.7643990516662598
BERT,768,20,0.7300654649734497,0.07587695121765137,0.48075035214424133,0.8482809662818909
